path,class,original_split,hash,clean_split
data/Training/glioma/Tr-gl_71.jpg,glioma,Training,4f220d99b8449978416f08991a26d07f,train
data/Training/glioma/Tr-gl_139.jpg,glioma,Training,5d86e238baf37178543ac98f5b1d058f,test
data/Training/glioma/Tr-gl_679.jpg,glioma,Training,473f42113dd735b74cfce2f376370f1c,train
data/Training/glioma/Tr-gl_598.jpg,glioma,Training,b0e0a720e50a710eb3157861d4f79b79,train
data/Training/glioma/Tr-gl_5.jpg,glioma,Training,a9868de7a08e9b43ff64a9bd14fc195b,val
data/Training/glioma/Tr-gl_314.jpg,glioma,Training,783bbf7471422925bb81ffcd5a0e59c7,train
data/Training/glioma/Tr-gl_672.jpg,glioma,Training,4c291fd7779b8a3f9815294da8297615,test
data/Training/glioma/Tr-gl_229.jpg,glioma,Training,de100c8947945279018fce75cf69bb4f,val
data/Training/glioma/Tr-gl_707.jpg,glioma,Training,24058d91614884d998c1afc1c1b02e17,train
data/Training/glioma/Tr-gl_149.jpg,glioma,Training,ae2c3214d92c71f1ab8d2b16ac25a6d1,train
data/Training/glioma/Tr-gl_532.jpg,glioma,Training,c3fd836a2f7d5472bf5f05714bdfc5bc,train
data/Training/glioma/Tr-gl_115.jpg,glioma,Training,c36648f5ab8377b78f258fb07b3febd7,train
data/Training/glioma/Tr-gl_1060.jpg,glioma,Training,ed2ac35a67afe4858ba330ec5a4651dc,train
data/Training/glioma/Tr-gl_697.jpg,glioma,Training,14fbeefc32e6ec24062e8ed3e340daa9,test
data/Training/glioma/Tr-gl_518.jpg,glioma,Training,1991dc3045bf999de88c5eaf2388f731,test
data/Training/glioma/Tr-gl_628.jpg,glioma,Training,3b53dcbf01d24eabae0bde1e2d903a92,train
data/Training/glioma/Tr-gl_1072.jpg,glioma,Training,80431606ae5a64bb6e1a9f25dbd38218,val
data/Training/glioma/Tr-gl_1377.jpg,glioma,Training,889641765b4541f97e12cc8f4c7ffff5,train
data/Training/glioma/Tr-gl_747.jpg,glioma,Training,299af2882977ad395a0307b1e8dee1aa,train
data/Training/glioma/Tr-gl_909.jpg,glioma,Training,85a8ec29081b8479c141a13523766797,val
data/Training/glioma/Tr-gl_37.jpg,glioma,Training,30b3c3cf17479966811dffc382791f86,train
data/Training/glioma/Tr-gl_1018.jpg,glioma,Training,14e659ab7f050c2c268017ae65948300,train
data/Training/glioma/Tr-gl_676.jpg,glioma,Training,7c1b28459f3c60083c4b502777f2763a,train
data/Training/glioma/Tr-gl_581.jpg,glioma,Training,3e9c13b57c7935a4c786494f94c84b1f,test
data/Training/glioma/Tr-gl_1231.jpg,glioma,Training,807f61382121e1fcb33f6fc0675fa3f0,train
data/Training/glioma/Tr-gl_394.jpg,glioma,Training,9e295d806b37355883bc4c8de26f6b82,train
data/Training/glioma/Tr-gl_136.jpg,glioma,Training,5762b5e10b32a855423c3a705673c97b,train
data/Training/glioma/Tr-gl_804.jpg,glioma,Training,2e122430f4f93bb996aee9d8158c5031,train
data/Training/glioma/Tr-gl_750.jpg,glioma,Training,17115a935268063ba14abcf23c703f98,train
data/Training/glioma/Tr-gl_150.jpg,glioma,Training,689a6f2585d3230733ea81d75c87733b,train
data/Training/glioma/Tr-gl_555.jpg,glioma,Training,516d75458d50f3bc9fe9723613562a88,val
data/Training/glioma/Tr-gl_787.jpg,glioma,Training,cfb5cb9f53f46737420e74f4f0c16b83,train
data/Training/glioma/Tr-gl_146.jpg,glioma,Training,7ad7603f27e6bdf667c6ec1e4dabebcc,train
data/Training/glioma/Tr-gl_1319.jpg,glioma,Training,69408b64c194e6ac4b9cbe67abcbbf74,train
data/Training/glioma/Tr-gl_1144.jpg,glioma,Training,d1e4a41add8733e3b15b8db9a12497fd,train
data/Training/glioma/Tr-gl_1331.jpg,glioma,Training,d9575c8be1e26b781f1d797f2224c954,train
data/Training/glioma/Tr-gl_471.jpg,glioma,Training,f29ace4c6e89633aaa5f6ba736d6f1b9,train
data/Training/glioma/Tr-gl_1009.jpg,glioma,Training,d11522582974a55bf24d6de79e8b9b15,train
data/Training/glioma/Tr-gl_718.jpg,glioma,Training,e57b3a19f63eb2e03f4ec0c478b2be28,train
data/Training/glioma/Tr-gl_54.jpg,glioma,Training,2b2ff83cc8339458899e8994faa549a3,test
data/Training/glioma/Tr-gl_582.jpg,glioma,Training,307b8f2911cbb17752ee53dcb3d18765,train
data/Training/glioma/Tr-gl_169.jpg,glioma,Training,c495c54981f24f2ca50f2294b23de974,train
data/Training/glioma/Tr-gl_957.jpg,glioma,Training,84ca5c175e0f27c5ea51030522895596,train
data/Training/glioma/Tr-gl_640.jpg,glioma,Training,8bf1c529fcd37cf35334f6830b5420d6,test
data/Training/glioma/Tr-gl_189.jpg,glioma,Training,226be032ec599c2518847e73e44eb4aa,train
data/Training/glioma/Tr-gl_1356.jpg,glioma,Training,58738efa051c9cb95eee861ace2da861,train
data/Training/glioma/Tr-gl_1312.jpg,glioma,Training,eab104bdc1621ea0ce2450ae22a25d85,train
data/Training/glioma/Tr-gl_337.jpg,glioma,Training,41f32dca8637b99f5012ea331c4844a9,train
data/Training/glioma/Tr-gl_1257.jpg,glioma,Training,4cef6bb560c79d728e5ebf1ae4deee7c,val
data/Training/glioma/Tr-gl_857.jpg,glioma,Training,e469f7ee965c3e63063c87c5a1611ef8,train
data/Training/glioma/Tr-gl_657.jpg,glioma,Training,80a26f1964fd633f4b0edd123b225fdd,val
data/Training/glioma/Tr-gl_609.jpg,glioma,Training,4d92fb6effe5907ccf8230b7ddfee7e3,test
data/Training/glioma/Tr-gl_119.jpg,glioma,Training,8095fd3967a83f0893d8add14ce07ac5,train
data/Training/glioma/Tr-gl_1061.jpg,glioma,Training,f7d4cbadbc674f8278656a7526306ada,train
data/Training/glioma/Tr-gl_995.jpg,glioma,Training,6c4cf37b8dcba501bb74d208b798c7be,test
data/Training/glioma/Tr-gl_1207.jpg,glioma,Training,6d3f84c7005a14ca8163aa29173b9384,train
data/Training/glioma/Tr-gl_1357.jpg,glioma,Training,4688285ce34277b656b7459e6eaaf8e0,val
data/Training/glioma/Tr-gl_1190.jpg,glioma,Training,9116e817666822876a47733171d85bb0,train
data/Training/glioma/Tr-gl_1221.jpg,glioma,Training,ff04cb3f67c352727217d7619ed66228,train
data/Training/glioma/Tr-gl_10.jpg,glioma,Training,3284bf3d5c27d6877020381a9c7fa8c9,train
data/Training/glioma/Tr-gl_615.jpg,glioma,Training,8c3b11ee012500129d92e2598d95c7d1,train
data/Training/glioma/Tr-gl_716.jpg,glioma,Training,6549c7ef372b971f4b68f18d873c08e2,test
data/Training/glioma/Tr-gl_921.jpg,glioma,Training,3b458354a7ede4d61866398c577736d6,train
data/Training/glioma/Tr-gl_992.jpg,glioma,Training,503878d837e91481ef39231411b83b87,train
data/Training/glioma/Tr-gl_1236.jpg,glioma,Training,2f5af1082ec513b990154be6c0b90f09,test
data/Training/glioma/Tr-gl_943.jpg,glioma,Training,abbe201fcfc5001f9d9ce82e4a3b00e0,test
data/Training/glioma/Tr-gl_98.jpg,glioma,Training,2cbf9e83f4e3119a325a491ae49634a0,train
data/Training/glioma/Tr-gl_1119.jpg,glioma,Training,13b0d8a3e213bdaebb2ff6f36494a763,train
data/Training/glioma/Tr-gl_534.jpg,glioma,Training,cfe922ed0744e514af74fde30c748ea3,train
data/Training/glioma/Tr-gl_1320.jpg,glioma,Training,f69d301f9a712c0357ff43025504bac8,train
data/Training/glioma/Tr-gl_1191.jpg,glioma,Training,bb851716cea976e438a0dc8936ed5557,train
data/Training/glioma/Tr-gl_177.jpg,glioma,Training,2c37034bedc6428140254b404a92521c,train
data/Training/glioma/Tr-gl_952.jpg,glioma,Training,5f1f3db0d800970a2791d8639c0bb9b0,train
data/Training/glioma/Tr-gl_978.jpg,glioma,Training,0a3319b140b04c644d0b8588170a7e66,val
data/Training/glioma/Tr-gl_404.jpg,glioma,Training,ef55b337fabd7d66f2ceb3acb477d003,train
data/Training/glioma/Tr-gl_550.jpg,glioma,Training,fcee3731d8b91ef8e06fd1690a61b960,train
data/Training/glioma/Tr-gl_980.jpg,glioma,Training,f82959b189f388209908562799533e81,train
data/Training/glioma/Tr-gl_1177.jpg,glioma,Training,7afa61bc3738e77353cb8cef79d3e3ee,train
data/Training/glioma/Tr-gl_48.jpg,glioma,Training,df7ed796de43d8c43061496d742eb74a,val
data/Training/glioma/Tr-gl_1360.jpg,glioma,Training,fb67f621b3dd86370d79ac496c1ea34e,val
data/Training/glioma/Tr-gl_858.jpg,glioma,Training,d5e1afc78e73330171cd92ef4e4fdcfa,train
data/Training/glioma/Tr-gl_973.jpg,glioma,Training,1b0481d539cb2de1549948621020e2c7,val
data/Training/glioma/Tr-gl_1358.jpg,glioma,Training,1195b2d0897ef32e53f0d7e09bd23b63,train
data/Training/glioma/Tr-gl_1003.jpg,glioma,Training,082d72b80d71ee60939e2f474fc01bcb,train
data/Training/glioma/Tr-gl_251.jpg,glioma,Training,c6db1ad3ba3f5ae6c12e12849abdc0e9,train
