path,true_label,predicted_label,confidence
data/Training/glioma/Tr-gl_1001.jpg,glioma,meningioma,0.4741848111152649
data/Training/glioma/Tr-gl_1067.jpg,glioma,meningioma,0.9454757571220398
data/Training/glioma/Tr-gl_499.jpg,glioma,meningioma,0.424656480550766
data/Training/glioma/Tr-gl_556.jpg,glioma,pituitary,0.49670639634132385
data/Training/meningioma/Tr-me_409.jpg,meningioma,pituitary,0.9769659638404846
data/Training/meningioma/Tr-me_965.jpg,meningioma,glioma,0.7027355432510376
data/Training/meningioma/Tr-me_902.jpg,meningioma,glioma,0.7106205821037292
data/Training/notumor/Tr-no_887.jpg,notumor,glioma,0.6502392888069153
data/Training/notumor/Tr-no_1172.jpg,notumor,pituitary,0.5929079651832581
data/Training/notumor/Tr-no_426.jpg,notumor,meningioma,0.9590684175491333
data/Testing/glioma/Te-gl_87.jpg,glioma,meningioma,0.8191632628440857
data/Testing/glioma/Te-gl_32.jpg,glioma,meningioma,0.8013921976089478
data/Testing/glioma/Te-gl_74.jpg,glioma,meningioma,0.8475928902626038
data/Testing/glioma/Te-gl_389.jpg,glioma,meningioma,0.8013921976089478
data/Testing/glioma/Te-gl_84.jpg,glioma,meningioma,0.6465920209884644
data/Testing/glioma/Te-gl_341.jpg,glioma,notumor,0.9992278814315796
data/Testing/meningioma/Te-me_223.jpg,meningioma,glioma,0.7027355432510376
data/Testing/meningioma/Te-aug-me_35.jpg,meningioma,pituitary,0.9674631357192993
data/Testing/meningioma/Te-me_169.jpg,meningioma,pituitary,0.9981275200843811
